url,price,year,name,ID,Marca,Modelo,Versión,Año,Cilindrada,Kilómetros,Puertas,Tipo de combustible,Placa
https://articulo.tucarro.com.co/MCO-548377895-mercedes-benz-clase-c-c320-modelo-2005-3200cc-at-_JM#position=1&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,26.900.000,2005 | 140000 km,Mercedes-benz Clase C C320,MCO548377895,Mercedes-Benz,Clase C,C320,2005,3.199 cc,140.000 km,5,Gasolina,FAW265
https://articulo.tucarro.com.co/MCO-549745190-mercedes-c200-elegance-18-184hp-negro-magnetita-hermoso-_JM#position=2&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,59.000.000,2012 | 59000 km,Mercedes-benz Clase C C200 Elegance 1.8 Turbo,MCO549745190,Mercedes-Benz,Clase C,C200 Elegance 1.8 Turbo,2012,1.8 cc,59.000 km,4,Gasolina,MBM947
https://articulo.tucarro.com.co/MCO-552274120-mercedes-benz-clase-c-avantgrade-_JM#position=3&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,66.000.000,2015 | 92000 km,Mercedes-benz Clase C Avantgrade,MCO552274120,Mercedes-Benz,Clase C,Avantgrade,2015,,92.000 km,5,Gasolina,impar
https://articulo.tucarro.com.co/MCO-551514710-mercedes-c200-exclusive-2016-_JM#position=4&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,81.500.000,2016 | 34900 km,Mercedes-benz Clase C C200 Exclusive,MCO551514710,Mercedes-Benz,Clase C,C200 EXCLUSIVE,2016,2000 cc,34.900 km,4,Gasolina,USV831
https://articulo.tucarro.com.co/MCO-551356381-mercedez-benz-c-200-convertible-_JM#position=5&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,115.475.000,2017 | 22320 km,Mercedes-benz Clase C C 200,MCO551356381,Mercedes-Benz,Clase C,C 200,2017,,22.320 km,2,Gasolina,3
https://articulo.tucarro.com.co/MCO-549404093-mercedes-benz-clase-c-c200-chi-_JM#position=6&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,77.900.000,2015 | 63000 km,Mercedes-benz Clase C C200 Exclusive,MCO549404093,Mercedes-Benz,Clase C,C200 EXCLUSIVE,2015,2000 cc,63.000 km,4,Gasolina,IEM540
https://articulo.tucarro.com.co/MCO-552729304-mercedes-c180-modelo-2017-_JM#position=7&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,86.900.000,2017 | 13500 km,Mercedes-benz Clase C C180,MCO552729304,Mercedes-Benz,Clase C,C180,2017,1600 cc,13.500 km,4,Gasolina,JDW806
https://articulo.tucarro.com.co/MCO-552228177-mercedes-benz-clase-c-c250-cgi-amg-18cc-at-aa-_JM#position=8&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,66.000.000,2011 | 56500 km,Mercedes-benz Clase C C250 Cgi Amg 1.8cc At Aa,MCO552228177,Mercedes-Benz,Clase C,C250 CGI AMG 1.8cc AT AA,2011,,56.500 km,4,Gasolina,***-**8
https://articulo.tucarro.com.co/MCO-548989662-mercedes-benz-clase-c200-_JM#position=9&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,135.000.000,2018 | 8600 km,Mercedes-benz Clase C C200 Cariolet,MCO548989662,Mercedes-Benz,Clase C,C200 CARIOLET,2018,2000 cc,8.600 km,2,Gasolina,***318
https://articulo.tucarro.com.co/MCO-551302963-mercedes-benz-clase-c-c-220-_JM#position=10&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,61.000.000,2012 | 21300 km,Mercedes-benz Clase C C-220,MCO551302963,Mercedes-Benz,Clase C,C-220,2012,,21.300 km,5,Diésel,ZIX-398
https://articulo.tucarro.com.co/MCO-550779290-mercedes-benz-clase-c-200-elegance-_JM#position=11&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,57.000.000,2012 | 65000 km,Mercedes-benz Clase C Elegance,MCO550779290,Mercedes-Benz,Clase C,ELEGANCE,2012,,65.000 km,5,Gasolina,MKU345
https://articulo.tucarro.com.co/MCO-544080730-c180-cgimec-1600cc-_JM#position=12&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,49.900.000,2013 | 86000 km,Mercedes-benz Clase C C180 Cgi,MCO544080730,Mercedes-Benz,Clase C,C180 CGI,2013,1600 cc,86.000 km,4,Gasolina,HBM586
https://articulo.tucarro.com.co/MCO-551405990-mercedes-benz-c200-exclusive-20-aut-ivx244-_JM#position=13&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,89.000.000,2016 | 43200 km,Mercedes-benz Clase C Exclusive 2.0 Aut,MCO551405990,Mercedes-Benz,Clase C,EXCLUSIVE 2.0 AUT,2016,2000 cc,43.200 km,4,Gasolina,IVX244
https://articulo.tucarro.com.co/MCO-553380709-mercedes-benz-c180-kompressor-_JM#position=14&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,28.500.000,2005 | 118500 km,Mercedes-benz Clase C Clase C 180,MCO553380709,Mercedes-Benz,Clase C,Clase C 180,2005,,118.500 km,5,Gasolina,cxn653
https://articulo.tucarro.com.co/MCO-550471391-mercedes-benz-clase-c-c220-_JM#position=15&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,22.000.000,1994 | 221000 km,Mercedes-benz Clase C C220,MCO550471391,Mercedes-Benz,Clase C,C220,1994,,221.000 km,5,Gasolina,BHZ-851
https://articulo.tucarro.com.co/MCO-548345682-mercedes-benz-clase-c-c320-modelo-2005-3200cc-at-_JM#position=16&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,26.900.000,2005 | 140270 km,Mercedes-benz Clase C C320,MCO548345682,Mercedes-Benz,Clase C,C320,2005,3200 cc,140.270 km,5,Gasolina,FAW265
https://articulo.tucarro.com.co/MCO-554367555-mercedes-benz-clase-c-c180-avantgarde-_JM#position=17&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,110.000.000,2019 | 19500 km,Mercedes-benz Clase C C180 Avantgarde,MCO554367555,Mercedes-Benz,Clase C,C180 AVANTGARDE,2019,1600 cc,19.500 km,4,Gasolina,FQU983
https://articulo.tucarro.com.co/MCO-553443559-mercedes-benz-clase-c-c-200-kompresrelegance-_JM#position=18&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,39.000.000,2008 | 87000 km,Mercedes-benz Clase C C 200 Kompresrelegance,MCO553443559,Mercedes-Benz,Clase C,C 200 KOMPRESRELEGANCE,2008,1800 cc,87.000 km,4,Gasolina,CDZ929
https://articulo.tucarro.com.co/MCO-553338257-mercedes-benz-clase-c-c200-exclusive-2020-_JM#position=19&type=item&tracking_id=36dcce0b-cd90-4f25-aea1-f198cdd42c1f,122.900.000,2020 | 0 km,Mercedes-benz Clase C C200 Exclusive 2020,MCO553338257,Mercedes-Benz,Clase C,C200 Exclusive 2020,2020,,0 km,4,Gasolina,4
